0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:34:35 +0900] "GET /food_v1/test.css HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:34:35 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:47:57 +0900] "GET /food_v1/Test.jsp HTTP/1.1" 200 4027
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:47:57 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:47:57 +0900] "GET /food_v1/test.css HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:47:57 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:47:58 +0900] "GET /food_v1/Test.jsp HTTP/1.1" 200 4027
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:47:58 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:47:58 +0900] "GET /food_v1/test.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:47:58 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:48:11 +0900] "GET /food_v1/Test.jsp HTTP/1.1" 200 4027
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:48:11 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:48:11 +0900] "GET /food_v1/test.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:48:11 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:48:24 +0900] "GET /food_v1/Test.jsp HTTP/1.1" 200 4027
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:48:24 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:48:24 +0900] "GET /food_v1/test.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:48:24 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:51:20 +0900] "GET /food_v1/Test.jsp HTTP/1.1" 200 4027
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:51:20 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
