0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:03 +0900] "GET /food_v1/upload/omegaegg1.JPG HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:03 +0900] "GET /food_v1/upload/jeonbock1.JPG HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:03 +0900] "GET /food_v1/upload/gulbi1.JPG HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:03 +0900] "GET /food_v1/upload/gomujangghab1.JPG HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:03 +0900] "GET /food_v1/upload/kim1.JPG HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:04 +0900] "GET /food_v1/Main.me HTTP/1.1" 200 2730
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:04 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:04 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:05 +0900] "GET /food_v1/MemberLogout.me HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:06 +0900] "GET /food_v1/Main.me HTTP/1.1" 200 2683
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:06 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:06 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:07 +0900] "GET /food_v1/MemberLogin.me HTTP/1.1" 200 4097
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:07 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:07 +0900] "GET /food_v1/css/loginForm.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:07 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:10 +0900] "POST /food_v1/MemberLoginAction.me HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:11 +0900] "GET /food_v1/Main.me HTTP/1.1" 200 2730
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:11 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:11 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:12 +0900] "GET /food_v1/GoodsList.go HTTP/1.1" 200 3386
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:12 +0900] "GET /food_v1/upload/KakaoTalk_20210323_212253821.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:12 +0900] "GET /food_v1/upload/jjamgbbongMain.JPG HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:12 +0900] "GET /food_v1/upload/sushi1.JPG HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:12 +0900] "GET /food_v1/upload/omegaegg1.JPG HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:12 +0900] "GET /food_v1/upload/jeonbock1.JPG HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:12 +0900] "GET /food_v1/upload/gulbi1.JPG HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:12 +0900] "GET /food_v1/upload/gomujangghab1.JPG HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:12 +0900] "GET /food_v1/upload/kim1.JPG HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:13 +0900] "GET /food_v1/BasketList.ba HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:56 +0900] "GET /food_v1/GoodsList.go HTTP/1.1" 200 3386
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:56 +0900] "GET /food_v1/upload/KakaoTalk_20210323_212253821.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:56 +0900] "GET /food_v1/upload/jjamgbbongMain.JPG HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:56 +0900] "GET /food_v1/upload/sushi1.JPG HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:56 +0900] "GET /food_v1/upload/omegaegg1.JPG HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:56 +0900] "GET /food_v1/upload/jeonbock1.JPG HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:56 +0900] "GET /food_v1/upload/gulbi1.JPG HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:56 +0900] "GET /food_v1/upload/gomujangghab1.JPG HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:56 +0900] "GET /food_v1/upload/kim1.JPG HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:57 +0900] "GET /food_v1/Main.me HTTP/1.1" 200 2730
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:57 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:57 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:58 +0900] "GET /food_v1/MemberLogout.me HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:59 +0900] "GET /food_v1/Main.me HTTP/1.1" 200 2683
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:59 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:31:59 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:01 +0900] "GET /food_v1/MemberLogin.me HTTP/1.1" 200 4097
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:01 +0900] "GET /food_v1/css/loginForm.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:01 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:01 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:03 +0900] "POST /food_v1/MemberLoginAction.me HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:04 +0900] "GET /food_v1/Main.me HTTP/1.1" 200 2730
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:04 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:04 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:05 +0900] "GET /food_v1/GoodsList.go HTTP/1.1" 200 3386
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:05 +0900] "GET /food_v1/upload/KakaoTalk_20210323_212253821.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:05 +0900] "GET /food_v1/upload/jjamgbbongMain.JPG HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:05 +0900] "GET /food_v1/upload/sushi1.JPG HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:05 +0900] "GET /food_v1/upload/omegaegg1.JPG HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:05 +0900] "GET /food_v1/upload/jeonbock1.JPG HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:05 +0900] "GET /food_v1/upload/gulbi1.JPG HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:05 +0900] "GET /food_v1/upload/gomujangghab1.JPG HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:05 +0900] "GET /food_v1/upload/kim1.JPG HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:06 +0900] "GET /food_v1/BasketList.ba HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:07 +0900] "GET /food_v1/upload/KakaoTalk_20210323_212253821.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:07 +0900] "GET /food_v1/upload/jjamgbbongMain.JPG HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:07 +0900] "GET /food_v1/upload/sushi1.JPG HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:07 +0900] "GET /food_v1/upload/omegaegg1.JPG HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:07 +0900] "GET /food_v1/upload/jeonbock1.JPG HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:07 +0900] "GET /food_v1/upload/gulbi1.JPG HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:07 +0900] "GET /food_v1/upload/gomujangghab1.JPG HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:07 +0900] "GET /food_v1/upload/kim1.JPG HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:07 +0900] "GET /food_v1/Main.me HTTP/1.1" 200 2730
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:07 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:07 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:08 +0900] "GET /food_v1/GoodsList.go HTTP/1.1" 200 3386
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:08 +0900] "GET /food_v1/upload/KakaoTalk_20210323_212253821.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:08 +0900] "GET /food_v1/upload/jjamgbbongMain.JPG HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:08 +0900] "GET /food_v1/upload/sushi1.JPG HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:08 +0900] "GET /food_v1/upload/omegaegg1.JPG HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:08 +0900] "GET /food_v1/upload/jeonbock1.JPG HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:08 +0900] "GET /food_v1/upload/gulbi1.JPG HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:08 +0900] "GET /food_v1/upload/gomujangghab1.JPG HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:08 +0900] "GET /food_v1/upload/kim1.JPG HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:10 +0900] "GET /food_v1/MemberMyPageAction.me HTTP/1.1" 200 3806
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:10 +0900] "GET /food_v1/css/mypage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:10 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:32:10 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
