0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:02 +0900] "GET /food/recipe_upload/%EC%95%A0%EA%B3%A0%EC%B6%94%EB%AC%B4%EC%B9%A8%20%EC%9E%AC%EB%A3%8C.JPG HTTP/1.1" 404 904
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:02 +0900] "GET /cjkit/web/js/vcui17e0.js?20200924090026 HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:02 +0900] "GET /cjkit/web/images/common/no_img_268x320.png HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:02 +0900] "GET /cjkit/web/js/olivekitchen.site17e0.js?20200924090026 HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:03 +0900] "GET /food/js/jquery/jquery.lazy.min.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:03 +0900] "POST /pc/myFpn/fpnViewMenu HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:03 +0900] "GET /food/js/makePCookie.js HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:03 +0900] "POST /pc/main/personOrder.json HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:03 +0900] "POST /pc/main/personCpn.json HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:03 +0900] "POST /pc/main/getMainTopBrnList.json HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:03 +0900] "POST /pc/main/getEventPopList.json HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:03 +0900] "POST /pc/comm/jehuScript.json HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:04 +0900] "POST /pc/comm/jehuScript.json HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:14 +0900] "GET /food/RecipeList.re HTTP/1.1" 200 13298
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:14 +0900] "GET /food/cjkit/web/css/recipeCSS/menuList.css HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:14 +0900] "GET /food/recipe_upload/%EC%95%A0%EA%B3%A0%EC%B6%94%EB%AC%B4%EC%B9%A8%20%EC%9E%AC%EB%A3%8C.JPG HTTP/1.1" 404 904
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:14 +0900] "GET /food/recipe_upload/%EC%83%9D%EA%B0%95%EA%B5%AC%EC%9D%B4.JPG HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:14 +0900] "GET /food/recipe_upload/%EC%83%9D%EA%B0%95%EA%B5%AC%EC%9D%B4%20%EC%9E%AC%EB%A3%8C3.JPG HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:22 +0900] "GET /food/RecipeList.re HTTP/1.1" 200 13298
